Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Harry Amass,eng ENG,DF,Manchester Utd,17,2007,5,346,69,10.1,3.8,4,81,3,1,22,8,0.6,1.32,2.37,-1.05,-1.04,-0.86,1.42,1.66,-0.24,-0.24,-0.23
Samuel Amissah,eng ENG,DF,Fulham,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,18,2006,2,28,14,0.8,0.3,0,,0,2,14,7,0,0,0,0,0,1.59,1,3.67,-2.67,-2.5,-1.14
Mathis Amougou,fr FRA,MF,Chelsea,18,2006,1,8,8,0.2,0.1,0,,0,1,8,3,3,0,0,0,0,-0.55,2,0,2,1.97,1.43
Joachim Andersen,dk DEN,DF,Crystal Palace,28,1996,1,90,90,2.6,1,1,90,1,0,,0,0,1,2,-1,-1,-1.03,1.2,1.6,-0.4,-0.42,-0.74
Joachim Andersen,dk DEN,DF,Fulham,28,1996,29,2583,89,75.5,28.7,29,89,28,0,,2,1.45,1.5,1.46,0.03,0.03,0.14,1.38,1.25,0.13,0.13,0.33
Elliot Anderson,eng ENG,MF,Nott'ham Forest,21,2002,37,2728,74,79.8,30.3,33,79,13,4,27,0,1.76,1.62,1.22,0.4,0.4,0.4,1.16,1.3,-0.14,-0.13,-0.22
André,br BRA,MF,Wolves,23,2001,33,2472,75,72.3,27.5,31,80,14,2,3,2,1.15,1.42,1.67,-0.25,-0.25,0.5,1.09,1.47,-0.39,-0.39,-0.02
Aaron Anselmino,ar ARG,DF,Chelsea,19,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
Jaidon Anthony,eng ENG,"FW,MF",Bournemouth,24,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
Michail Antonio,jm JAM,FW,West Ham,34,1990,14,836,60,24.4,9.3,11,66,0,3,37,0,1.07,1.4,1.94,-0.54,-0.54,-0.16,1.23,1.91,-0.69,-0.69,-0.47
Antony,br BRA,"DF,MF",Manchester Utd,24,2000,8,141,18,4.1,1.6,0,,0,8,18,11,0.88,3.13,1.25,1.88,1.91,2.27,2.94,1.38,1.56,1.6,1.71
Genesis Antwi,se SWE,MF,Chelsea,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
Julian Araujo,mx MEX,DF,Bournemouth,22,2001,12,497,41,14.5,5.5,7,62,0,5,12,7,1.08,0.36,1.82,-1.45,-1.45,-2.06,1.24,1.71,-0.47,-0.47,-1.02
Cameron Archer,eng ENG,FW,Southampton,23,2001,35,1441,41,42.1,16,13,71,0,22,24,2,0.26,0.63,2.13,-1.5,-1.5,0.14,0.98,2.29,-1.31,-1.31,0.11
Alphonse Areola,fr FRA,GK,West Ham,31,1993,26,2260,87,66.1,25.1,25,88,24,1,55,8,0.96,1.16,1.63,-0.48,-0.48,-0.17,1.2,1.49,-0.29,-0.29,0.14
Joe Aribo,ng NGA,"MF,DF",Southampton,28,1996,32,2013,63,58.9,22.4,21,79,8,11,32,6,0.34,0.76,2.5,-1.74,-1.74,-0.4,0.87,2.46,-1.59,-1.6,-0.54
Adam Armstrong,eng ENG,"FW,MF",Southampton,27,1997,20,1248,62,36.5,13.9,15,75,4,5,25,4,0.3,0.5,2.52,-2.01,-2.02,-0.69,0.92,2.33,-1.41,-1.41,-0.07
Harrison Armstrong,eng ENG,MF,Everton,17,2007,3,48,16,1.4,0.5,0,,0,3,16,20,1,0,2,-2,-1.87,-1.85,1.4,0.8,0.4,0.44,0.57
Kepa Arrizabalaga,es ESP,GK,Bournemouth,29,1994,31,2790,90,81.6,31,31,90,31,0,,1,1.48,1.61,1.26,0.35,0.35,0.21,1.73,1.24,0.49,0.49,0.46
Benjamin Arthur,eng ENG,DF,Brentford,18,2005,0,,,,,0,,0,0,,4,,,,,,,,,,,
Marco Asensio,es ESP,MF,Aston Villa,28,1996,13,743,57,21.7,8.3,9,72,3,4,23,0,2,2.17,0.96,1.2,1.21,1.31,1.7,1.34,0.36,0.36,0.26
Brandon Austin,eng ENG,GK,Tottenham,25,1999,1,90,90,2.6,1,1,90,1,0,,12,0,1,2,-1,-1,-1,0.9,2.5,-1.6,-1.57,-1.49
Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,26,1997,26,416,16,12.2,4.6,3,64,0,23,10,7,1.92,1.09,2.17,-1.09,-1.08,-1.59,1.24,1.41,-0.17,-0.18,-0.1
Yasin Ayari,se SWE,MF,Brighton,20,2003,34,1965,58,57.5,21.8,22,78,8,12,22,2,1.68,1.42,1.28,0.14,0.14,-0.11,1.49,1.36,0.13,0.13,0.05
Jordan Ayew,gh GHA,"FW,MF",Crystal Palace,32,1991,1,21,21,0.6,0.2,0,,0,1,21,0,0,0,5,-5,-4.29,-4.31,3.5,5,-1,-0.99,-1.29
Jordan Ayew,gh GHA,"FW,MF",Leicester City,32,1991,30,1638,55,47.9,18.2,19,77,4,11,16,6,0.77,0.93,2.25,-1.32,-1.32,-0.16,0.88,1.59,-0.7,-0.7,0.64
Benoît Badiashile,fr FRA,DF,Chelsea,23,2001,5,334,67,9.8,3.7,3,88,2,2,35,17,1.8,1.89,1.35,0.54,0.54,-0.02,1.86,1.35,0.51,0.53,-0.02
Leon Bailey,jm JAM,"FW,MF",Aston Villa,26,1997,24,1139,47,33.3,12.7,14,65,2,10,23,5,1.54,1.73,1.5,0.24,0.24,0.08,1.6,1.08,0.53,0.53,0.55
Carlos Baleba,cm CMR,MF,Brighton,20,2004,34,2661,78,77.8,29.6,31,83,15,3,27,2,1.68,1.86,1.32,0.54,0.54,1.61,1.59,1.34,0.25,0.25,0.64
Valentín Barco,ar ARG,"DF,MF",Brighton,20,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ross Barkley,eng ENG,MF,Aston Villa,30,1993,20,581,29,17,6.5,3,85,2,17,19,4,1.75,1.54,1.54,0,0,-0.22,1.8,0.95,0.85,0.85,0.84
Harvey Barnes,eng ENG,FW,Newcastle Utd,26,1997,33,1755,53,51.3,19.5,17,80,6,16,25,1,1.82,1.74,1.18,0.56,0.56,0.02,1.59,1.24,0.35,0.35,-0.27
Calvin Bassey,ng NGA,DF,Fulham,24,1999,35,3074,88,89.9,34.2,34,90,34,1,14,2,1.51,1.43,1.37,0.06,0.06,0.58,1.3,1.14,0.17,0.17,1.16
Callum Bates,eng ENG,MF,Everton,18,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,
Altay Bayındır,tr TUR,GK,Manchester Utd,26,1998,4,360,90,10.5,4,4,90,4,0,,27,0.75,1.5,2.5,-1,-1,-0.82,1.82,1.75,0.07,0.06,0.11
Jan Bednarek,pl POL,DF,Southampton,28,1996,30,2531,84,74,28.1,30,84,26,0,,0,0.37,0.68,2.03,-1.35,-1.35,0.88,0.85,2.01,-1.16,-1.16,0.81
Asmir Begović,ba BIH,GK,Everton,37,1987,0,,,,,0,,0,0,,18,,,,,,,,,,,
Armel Bella Kotchap,de GER,DF,Southampton,22,2001,4,331,83,9.7,3.7,2,90,2,2,76,8,0,0.54,3.51,-2.97,-2.99,-1.56,0.68,2.76,-2.08,-2.08,-0.79
Jean-Ricner Bellegarde,ht HAI,"MF,FW",Wolves,26,1998,35,1677,48,49,18.6,20,69,1,15,20,2,1.09,1.56,1.67,-0.11,-0.11,0.56,1.23,1.41,-0.19,-0.19,0.37
Steven Benda,de GER,GK,Fulham,25,1998,0,,,,,0,,0,0,,38,,,,,,,,,,,
Rodrigo Bentancur,uy URU,MF,Tottenham,27,1997,26,1645,63,48.1,18.3,21,75,7,5,15,1,1.04,1.42,1.42,0,0,0.05,1.64,1.44,0.2,0.2,0.62
Daniel Bentley,eng ENG,GK,Wolves,31,1993,2,180,90,5.3,2,2,90,2,0,,16,1.5,1.5,2,-0.5,-0.5,-0.11,0.8,1.5,-0.7,-0.69,-0.32
Sander Berge,no NOR,MF,Fulham,26,1998,31,2224,72,65,24.7,26,81,16,5,23,0,1.48,1.34,1.42,-0.08,-0.08,-0.23,1.21,1.22,-0.01,-0.01,-0.18
Lucas Bergvall,se SWE,MF,Tottenham,18,2006,27,1212,45,35.4,13.5,11,81,6,16,20,7,1.11,2.15,1.85,0.3,0.3,0.5,1.55,1.81,-0.26,-0.26,-0.22
Victor Bernth Kristiansen,dk DEN,DF,Leicester City,21,2002,30,2482,83,72.6,27.6,29,85,20,1,14,5,0.6,0.69,2.25,-1.56,-1.56,-1.18,0.75,1.93,-1.19,-1.19,-0.57
Beto,gw GNB,FW,Everton,26,1998,30,1534,51,44.9,17,15,82,6,15,20,8,1.07,1.35,1.41,-0.06,-0.06,-0.01,1.25,1.09,0.16,0.16,0.5
Marcus Bettinelli,eng ENG,GK,Chelsea,32,1992,0,,,,,0,,0,0,,5,,,,,,,,,,,
Philip Billing,dk DEN,MF,Bournemouth,28,1996,10,184,18,5.4,2,1,72,0,9,12,3,1.9,2.5,2,0.5,0.49,0.18,2.7,1.65,1.1,1.05,0.68
Yves Bissouma,ml MLI,MF,Tottenham,27,1996,28,1408,50,41.2,15.6,16,72,4,12,21,6,1.11,1.79,1.79,0,0,0.04,1.41,1.76,-0.35,-0.35,-0.4
Oscar Bobb,no NOR,FW,Manchester City,21,2003,3,16,5,0.5,0.2,0,,0,3,5,0,3,0,5,-5,-5.63,-6.39,1,2.5,-1.5,-1.6,-2.14
Lamare Bogarde,nl NED,"DF,MF",Aston Villa,20,2004,8,476,60,13.9,5.3,5,77,2,3,30,14,1.5,1.89,2.08,-0.19,-0.19,-0.43,1.42,1.75,-0.34,-0.34,-0.58
Willy Boly,ci CIV,DF,Nott'ham Forest,33,1991,6,150,25,4.4,1.7,1,90,1,5,12,23,2.17,1.76,0.59,1.18,1.2,0.92,1.53,1.59,0,-0.03,0.07
Somto Boniface,eng ENG,DF,Ipswich Town,18,2006,0,,,,,0,,0,0,,5,,,,,,,,,,,
Sven Botman,nl NED,DF,Newcastle Utd,24,2000,8,412,52,12,4.6,6,67,1,2,5,2,1.63,1.52,0.87,0.65,0.66,0.12,1.74,1.04,0.7,0.71,0.26
Jarrod Bowen,eng ENG,"FW,MF",West Ham,27,1996,34,2973,87,86.9,33,34,87,27,0,,0,1.15,1.24,1.52,-0.27,-0.27,1.14,1.25,1.53,-0.28,-0.28,0.44
Conor Bradley,nir NIR,DF,Liverpool,21,2003,19,754,40,22,8.4,7,68,1,12,23,6,1.84,1.55,1.19,0.36,0.36,-1.06,2.05,1.48,0.57,0.58,-0.73
Jarrad Branthwaite,eng ENG,DF,Everton,22,2002,30,2511,84,73.4,27.9,28,89,27,2,4,0,1.33,1.22,1,0.22,0.22,1.01,1.11,1.08,0.04,0.04,0.59
Sammy Braybrooke,eng ENG,MF,Leicester City,20,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
James Bree,eng ENG,DF,Southampton,26,1997,17,1075,63,31.4,11.9,13,78,7,4,15,15,0.29,0.67,2.61,-1.93,-1.93,-0.51,0.78,2.62,-1.84,-1.83,-0.67
Ben Brereton,cl CHI,FW,Southampton,25,1999,10,449,45,13.1,5,4,78,2,6,23,4,0.2,0.4,2,-1.6,-1.6,-0.03,1,2.2,-1.2,-1.2,0.2
Thorsten Brits,eng ENG,GK,Manchester City,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
Nathan Broadhead,wls WAL,"MF,FW",Ipswich Town,26,1998,18,702,39,20.5,7.8,7,74,1,11,17,7,0.44,1.54,1.54,0,0,1.52,1.17,1.49,-0.32,-0.32,0.87
Benjamin Broggio,eng ENG,FW,Aston Villa,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
Armando Broja,al ALB,FW,Everton,22,2001,10,334,33,9.8,3.7,4,58,0,6,17,3,1,0.27,0.54,-0.27,-0.27,-0.24,0.84,1.03,-0.19,-0.19,-0.08
David Brooks,wls WAL,"FW,MF",Bournemouth,27,1997,29,960,33,28.1,10.7,9,67,0,20,18,7,1.41,2.15,1.12,1.03,1.03,0.99,1.93,1.37,0.55,0.56,0.21
Emi Buendía,ar ARG,"MF,FW",Aston Villa,27,1996,12,98,8,2.9,1.1,0,,0,12,8,11,2,0.91,1.82,-0.91,-0.92,-1.14,1.73,1.82,-0.09,-0.08,-0.24
Santiago Bueno,uy URU,DF,Wolves,25,1998,29,1687,58,49.3,18.7,18,87,14,11,12,8,1.31,1.39,1.82,-0.43,-0.43,-0.06,1.2,1.56,-0.35,-0.35,0.05
Facundo Buonanotte,ar ARG,"FW,MF",Leicester City,19,2004,31,1523,49,44.5,16.9,14,80,6,17,24,3,0.52,1.01,1.95,-0.95,-0.95,0.53,0.99,1.69,-0.7,-0.7,0.6
Cameron Burgess,au AUS,DF,Ipswich Town,28,1995,18,1541,86,45.1,17.1,16,90,16,2,51,5,0.72,1.11,2.16,-1.05,-1.05,0.29,0.95,1.98,-1.04,-1.03,-0.05
Dan Burn,eng ENG,DF,Newcastle Utd,32,1992,37,3330,90,97.4,37,37,90,37,0,,0,1.78,1.84,1.22,0.62,0.62,2.62,1.68,1.21,0.47,0.47,-0.3
Wes Burns,wls WAL,"FW,DF",Ipswich Town,29,1994,18,926,51,27.1,10.3,12,67,0,6,20,3,0.67,0.68,2.23,-1.55,-1.56,-0.47,0.93,2.25,-1.32,-1.32,-0.43
Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,21,2003,1,7,7,0.2,0.1,0,,0,1,7,13,3,10,0,10,12.86,11.96,3,0,2,3.09,2.43
Killian Cahill,ie IRL,GK,Brighton,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Moisés Caicedo,ec ECU,"MF,DF",Chelsea,22,2001,38,3351,88,98,37.2,38,88,33,0,,0,1.82,1.67,1.13,0.54,0.54,-0.77,1.8,1.22,0.58,0.58,1.98
Tom Cairney,sct SCO,MF,Fulham,33,1991,25,628,25,18.4,7,3,70,0,22,19,10,1.2,2.14,1.71,0.43,0.43,0.53,1.47,1.39,0.09,0.09,0.05
Jens Cajuste,se SWE,MF,Ipswich Town,24,1999,30,1959,65,57.3,21.8,25,76,3,5,14,3,0.67,1.1,2.11,-1.01,-1.01,0.47,1.07,1.98,-0.91,-0.91,0.24
Riccardo Calafiori,it ITA,DF,Arsenal,22,2002,19,983,52,28.7,10.9,11,72,3,8,25,3,2.05,2.48,1.1,1.38,1.37,0.63,1.89,0.95,0.94,0.93,0.37
Dominic Calvert-Lewin,eng ENG,FW,Everton,27,1997,26,1609,62,47,17.9,19,77,8,7,20,0,1.27,0.95,1.01,-0.06,-0.06,-0.01,1.01,1.4,-0.39,-0.39,-0.51
Thomas Cannon,ie IRL,FW,Leicester City,21,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
Diego Carlos,br BRA,DF,Aston Villa,31,1993,10,830,83,24.3,9.2,8,90,8,2,55,7,1.3,1.52,1.63,-0.11,-0.11,-0.39,1.5,1.28,0.22,0.22,0.08
Scott Carson,eng ENG,GK,Manchester City,38,1985,0,,,,,0,,0,0,,16,,,,,,,,,,,
Henry Cartwright,eng ENG,MF,Leicester City,19,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
Fabio Carvalho,pt POR,"FW,MF",Brentford,21,2002,19,455,24,13.3,5.1,3,81,0,16,13,6,1.47,1.76,2.75,-0.98,-0.99,-1.41,1.27,2.2,-0.92,-0.92,-1.17
Cesare Casadei,it ITA,MF,Chelsea,21,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
Casemiro,br BRA,MF,Manchester Utd,32,1992,24,1494,62,43.7,16.6,18,76,7,6,22,14,1.29,1.08,1.2,-0.12,-0.12,0.25,1.38,1.39,-0.01,-0.01,0.04
Kaelan Casey,eng ENG,DF,West Ham,19,2004,1,1,1,0,0,0,,0,1,1,7,1,0,0,0,0,0.42,0.1,0.1,0,1.74,2.07
Matty Cash,pl POL,DF,Aston Villa,26,1997,27,2070,77,60.5,23,24,82,16,3,38,2,1.78,1.52,0.96,0.57,0.57,0.97,1.37,1.23,0.13,0.13,-0.06
Eiran Cashin,ie IRL,DF,Brighton,22,2001,2,20,10,0.6,0.2,0,,0,2,10,9,0,0,10,-10,-9,-9.24,2,2,0,-0.19,-0.3
Dante Cassanova,jm JAM,DF,Tottenham,20,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
Timothy Castagne,be BEL,DF,Fulham,28,1995,24,1649,69,48.2,18.3,17,89,16,7,19,9,1.33,1.64,1.53,0.11,0.11,0.21,1.28,1.21,0.07,0.06,0.03
Trevoh Chalobah,eng ENG,DF,Crystal Palace,25,1999,12,1060,88,31,11.8,12,88,9,0,,2,1.42,1.1,1.1,0,0,0,1.41,1.29,0.12,0.12,-0.26
Trevoh Chalobah,eng ENG,DF,Chelsea,25,1999,13,910,70,26.6,10.1,11,81,9,2,10,3,1.77,1.29,1.19,0.1,0.1,-0.62,1.55,1.13,0.44,0.43,-0.15
Conor Chaplin,eng ENG,"MF,FW",Ipswich Town,27,1997,22,857,39,25.1,9.5,10,71,1,12,13,6,0.41,0.84,2,-1.16,-1.16,0.07,0.93,1.85,-0.93,-0.93,0.1
Youssef Chermiti,pt POR,"FW,MF",Everton,20,2004,4,45,11,1.3,0.5,0,,0,4,11,10,0.5,2,0,2,2,2.08,1.4,0.8,0.4,0.47,0.59
Federico Chiesa,it ITA,FW,Liverpool,26,1997,6,108,18,3.2,1.2,1,62,0,5,9,13,1.5,4.17,2.5,1.67,1.67,0.5,2.75,2.33,0.42,0.43,-0.74
Ben Chilwell,eng ENG,DF,Crystal Palace,27,1996,8,259,32,7.6,2.9,1,90,1,7,24,4,2,2.07,1.38,0.69,0.69,0.75,1.48,0.93,0.55,0.55,0.27
Chiquinho,pt POR,MF,Wolves,24,2000,1,7,7,0.2,0.1,0,,0,1,7,0,0,0,0,0,0,0.4,1,0,1,1.89,2.27
Tawanda Chirewa,zw ZIM,MF,Wolves,20,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
Hamza Choudhury,bd BAN,"MF,DF",Leicester City,26,1997,4,131,33,3.8,1.5,1,58,0,3,24,11,0.25,0,3.33,-3.33,-3.44,-2.29,0.6,3.53,-2.93,-2.97,-2.01
Ryan Christie,sct SCO,MF,Bournemouth,29,1995,29,2117,73,61.9,23.5,27,76,10,2,28,0,1.52,1.7,1.19,0.51,0.51,0.51,1.74,1.27,0.46,0.46,0.14
Brayden Clarke,wls WAL,DF,Arsenal,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
Harry Clarke,eng ENG,DF,Ipswich Town,23,2001,7,379,54,11.1,4.2,4,85,3,3,14,5,0.43,0.95,2.14,-1.19,-1.19,0.03,1.02,2.17,-1.14,-1.13,-0.14
Jack Clarke,eng ENG,"FW,MF",Ipswich Town,23,2000,32,1181,37,34.5,13.1,12,66,1,20,19,3,0.59,1.07,2.37,-1.3,-1.3,-0.13,0.99,2.02,-1.03,-1.03,-0.04
Nathaniel Clyne,eng ENG,"DF,MF",Crystal Palace,33,1991,13,483,37,14.1,5.4,5,70,1,8,16,24,1.31,0.74,2.04,-1.3,-1.3,-1.52,1.37,1.81,-0.44,-0.44,-0.86
Conor Coady,eng ENG,DF,Leicester City,31,1993,22,1714,78,50.1,19,19,89,16,3,7,13,0.73,0.84,2.21,-1.37,-1.37,-0.26,0.79,2.01,-1.22,-1.21,-0.36
Séamus Coleman,ie IRL,DF,Everton,35,1988,5,215,43,6.3,2.4,3,65,1,2,10,13,1.6,1.67,1.67,0,0,0.06,1.5,1.92,-0.42,-0.42,-0.33
Nathan Collins,ie IRL,DF,Brentford,23,2001,38,3420,90,100,38,38,90,38,0,,0,1.47,1.74,1.5,0.24,0.24,,1.55,1.46,0.09,0.09,
Toby Collyer,eng ENG,MF,Manchester Utd,20,2004,6,179,30,5.2,2,0,,0,6,30,11,1.67,3,1,2,2.01,2.4,2.6,1.55,1.1,1.08,1.18
Levi Colwill,eng ENG,DF,Chelsea,21,2003,35,3149,90,92.1,35,35,90,34,0,,2,1.77,1.6,1.17,0.43,0.43,-1.56,1.65,1.25,0.41,0.41,-1.67
Lewis Cook,eng ENG,"MF,DF",Bournemouth,27,1997,36,2978,83,87.1,33.1,32,89,30,4,31,0,1.39,1.42,1.3,0.12,0.12,-1.51,1.66,1.34,0.32,0.32,-0.68
Maxwel Cornet,ci CIV,FW,Southampton,27,1996,2,72,36,2.1,0.8,1,45,0,1,27,3,0,0,5,-5,-5,-3.49,0.25,2.13,-1.88,-1.86,-0.49
Vladimír Coufal,cz CZE,DF,West Ham,31,1992,22,1067,49,31.2,11.9,11,78,5,11,19,11,1,1.01,1.76,-0.76,-0.76,-0.49,1.45,1.64,-0.18,-0.18,0.22
Woyo Coulibaly,ml MLI,DF,Leicester City,25,1999,4,109,27,3.2,1.2,1,45,0,3,21,6,0.75,0,5,-5,-4.95,-3.84,0.58,2.08,-1.42,-1.46,-0.44
Aaron Cresswell,eng ENG,DF,West Ham,34,1989,18,824,46,24.1,9.2,10,76,4,8,8,13,1.78,0.87,0.87,0,0,0.55,1.05,1.38,-0.33,-0.32,0.01
Marc Cucurella,es ESP,DF,Chelsea,26,1998,36,2988,83,87.4,33.2,33,88,27,3,24,0,1.89,1.81,1.14,0.66,0.66,0.87,1.86,1.21,0.66,0.66,0.92
Jorge Cuenca,es ESP,DF,Fulham,24,1999,8,351,44,10.3,3.9,4,87,3,4,1,18,1.5,1.28,2.05,-0.77,-0.77,-0.86,1.18,2.26,-1.08,-1.08,-1.26
Luke Cundle,eng ENG,MF,Wolves,22,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
Matheus Cunha,br BRA,"MF,FW",Wolves,25,1999,33,2597,79,75.9,28.9,29,85,19,4,31,0,0.97,1.42,1.87,-0.45,-0.45,-0.23,1.13,1.54,-0.41,-0.41,-0.14
Patson Daka,zm ZAM,"FW,MF",Leicester City,25,1998,23,736,32,21.5,8.2,6,72,1,17,18,4,0.61,0.85,1.95,-1.1,-1.1,0.17,0.79,2.07,-1.28,-1.29,-0.33
Diogo Dalot,pt POR,DF,Manchester Utd,25,1999,33,2814,85,82.3,31.3,31,89,30,2,29,0,1.15,1.09,1.44,-0.35,-0.35,-0.5,1.27,1.47,-0.2,-0.2,-0.93
Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,24,2000,38,2911,77,85.1,32.3,34,83,11,4,23,0,1.47,1.8,1.27,0.53,0.53,1.94,1.63,1.39,0.24,0.24,0.99
Danilo,br BRA,"MF,FW",Nott'ham Forest,23,2001,8,275,34,8,3.1,5,47,0,3,13,6,2.13,2.58,1.29,1.29,1.31,1.08,1.03,1.55,-0.52,-0.54,-0.48
Jayden Danns,eng ENG,MF,Liverpool,18,2006,1,11,11,0.3,0.1,0,,0,1,11,1,3,0,10,-10,-8.18,-9.4,0,4,-4,-3.38,-4.54
